(46, 33.6734475, 0.10204075000000046)
(27, 33.877529, 0.10204075000000046)
(38, 33.877529, 0.10204075000000046)
(44, 33.88178069791667, 0.10204075000000046)
(46, 34.0816105, 0.10204075000000046)
(38, 34.18365125, 0.10204075000000046)
(46, 34.285692, 0.10204075000000046)
(27, 34.285692, 0.10204075000000046)
(46, 34.4897735, 0.10204075000000046)
(27, 34.4897735, 0.10204075000000046)
(44, 34.693855, 0.10204075000000046)
(38, 34.79589575, 0.10204075000000046)
(46, 34.8979365, 0.10204075000000046)
(27, 34.8979365, 0.10204075000000046)
(46, 35.102018, 0.10204075000000046)
(27, 35.102018, 0.10204075000000046)
(44, 35.3060995, 0.10204075000000046)
(27, 35.3060995, 0.10204075000000046)
(46, 35.510181, 0.10204075000000046)
(38, 35.510181, 0.10204075000000046)
(49, 35.918344, 0.10204075000000046)
(27, 35.918344, 0.10204075000000046)
(46, 36.1224255, 0.10204075000000046)
(27, 36.326507, 0.10204075000000046)
(38, 36.326507, 0.10204075000000046)
(44, 36.326507, 0.10629244791666537)
(46, 36.5305885, 0.10204075000000046)
(27, 36.73467, 0.10204075000000046)
(44, 36.738921697916666, 0.10204075000000046)
(46, 36.9387515, 0.10204075000000046)
(27, 37.142833, 0.10204074999999335)
(38, 37.142833, 0.10204074999999335)
(44, 37.14708469791667, 0.10204075000000046)
(46, 37.3469145, 0.10204075000000046)
(27, 37.550996, 0.10204075000000046)
(44, 37.553121848958334, 0.10204075000000046)
(46, 37.7550775, 0.10204075000000046)
(27, 37.959159, 0.10204075000000046)
(38, 37.959159, 0.10204075000000046)
(44, 37.959159, 0.10629244791666537)
(46, 38.1632405, 0.10204075000000046)
(27, 38.367322, 0.10204075000000046)
(44, 38.371573697916666, 0.10204075000000046)
(46, 38.5714035, 0.10204075000000046)
(27, 38.775485, 0.10204074999999335)
(38, 38.775485, 0.10204074999999335)
(44, 38.77973669791667, 0.10204075000000046)
(46, 38.9795665, 0.10204075000000046)
(27, 39.183648, 0.10204075000000046)
(44, 39.185773848958334, 0.10204075000000046)
(46, 39.3877295, 0.10204075000000046)
(27, 39.591811, 0.10204075000000046)
(38, 39.591811, 0.10204075000000046)
(44, 39.591811, 0.10629244791666537)
(46, 39.7958925, 0.10204075000000046)
(27, 39.999974, 0.10204075000000046)
(44, 40.00422569791667, 0.10204075000000046)
(46, 40.2040555, 0.10204075000000046)
(27, 40.408136999999996, 0.10204075000000046)
(38, 40.408136999999996, 0.10204075000000046)
(44, 40.41238869791667, 0.10204075000000046)
(46, 40.6122185, 0.10204075000000046)
(27, 40.8163, 0.10204075000000046)
(44, 40.818425848958334, 0.10204075000000046)
(46, 41.0203815, 0.10204075000000046)
(27, 41.224463, 0.10204075000000046)
(38, 41.224463, 0.10204075000000046)
(44, 41.224463, 0.10629244791666537)
(46, 41.4285445, 0.10204075000000046)
(27, 41.632626, 0.10204075000000046)
(44, 41.63687769791667, 0.10204075000000046)
(46, 41.8367075, 0.10204075000000046)
(27, 42.040789, 0.10204075000000046)
(38, 42.040789, 0.10204075000000046)
(44, 42.04504069791667, 0.10204075000000046)
(46, 42.2448705, 0.10204075000000046)
(49, 42.448952, 0.10204075000000046)
(27, 42.448952, 0.10204075000000046)
(44, 42.451077848958334, 0.10204075000000046)
(46, 42.6530335, 0.10204075000000046)
(27, 42.857115, 0.10204075000000046)
(38, 42.857115, 0.10204075000000046)
(44, 42.857115, 0.10629244791666537)
(46, 43.0611965, 0.10204075000000046)
(27, 43.265278, 0.10204075000000046)
(44, 43.26952969791667, 0.10204075000000046)
(46, 43.4693595, 0.10204074999999335)
(27, 43.673441, 0.10204075000000046)
